date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:56:22	117/117	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2003%20Jun%202023%2011:56:22%20GMT	https://mediaman.ma/robots.txt		(from )
12:56:22	117750/117750	---MCZ	200	added ('OK')	text/html	date:Sat,%2003%20Jun%202023%2011:56:22%20GMT	https://mediaman.ma/	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/mediaman.ma/index.html	(from )
12:56:23	108571/108571	---M-Z	200	added ('OK')	application/x-javascript	date:Sat,%2003%20Jun%202023%2011:56:23%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/connect.facebook.net/en_US/fbevents.js	(from https://mediaman.ma/)
12:56:25	162703/162703	---MCZ	200	added ('OK')	text/css	etag:W/%22618eb1d4-27b8f%22	https://mediaman.ma/assets/css/vendor/bootstrap.min.css	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/mediaman.ma/assets/css/vendor/bootstrap.min.css	(from https://mediaman.ma/)
12:56:25	127166/127166	---MCZ	200	added ('OK')	image/png	etag:W/%2261b4fc3e-1f0be%22	https://mediaman.ma/assets/media/favicon.png?v=1.0	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/mediaman.ma/assets/media/faviconc619.png	(from https://mediaman.ma/)
12:56:26	156597/156597	---MCZ	200	added ('OK')	text/css	etag:W/%22618eb1d6-263b5%22	https://mediaman.ma/assets/css/vendor/font-awesome.css	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/mediaman.ma/assets/css/vendor/font-awesome.css	(from https://mediaman.ma/)
12:56:26	1863/1863	---MCZ	200	added ('OK')	text/css	etag:W/%22618eb1d8-747%22	https://mediaman.ma/assets/css/vendor/slick.css	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/mediaman.ma/assets/css/vendor/slick.css	(from https://mediaman.ma/)
12:56:26	3344/3344	---MCZ	200	added ('OK')	text/css	etag:W/%22618eb1d6-d10%22	https://mediaman.ma/assets/css/vendor/slick-theme.css	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/mediaman.ma/assets/css/vendor/slick-theme.css	(from https://mediaman.ma/)
12:56:26	7512/7512	---MCZ	200	added ('OK')	text/css	etag:W/%22618eb1d6-1d58%22	https://mediaman.ma/assets/css/vendor/sal.css	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/mediaman.ma/assets/css/vendor/sal.css	(from https://mediaman.ma/)
12:56:27	7302/7302	---MCZ	200	added ('OK')	text/css	etag:W/%22618eb1d6-1c86%22	https://mediaman.ma/assets/css/vendor/magnific-popup.css	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/mediaman.ma/assets/css/vendor/magnific-popup.css	(from https://mediaman.ma/)
12:56:27	4908/4908	---MCZ	200	added ('OK')	text/css	etag:W/%22618eb1d6-132c%22	https://mediaman.ma/assets/css/vendor/green-audio-player.min.css	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/mediaman.ma/assets/css/vendor/green-audio-player.min.css	(from https://mediaman.ma/)
12:56:27	215019/215019	---MCZ	200	added ('OK')	text/css	etag:W/%2262deafb2-347eb%22	https://mediaman.ma/assets/css/app.css?ver=1.1.1	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/mediaman.ma/assets/css/appc64e.css	(from https://mediaman.ma/)
12:56:27	1168/1168	---MCZ	200	added ('OK')	text/css	etag:W/%226193e40a-490%22	https://mediaman.ma/assets/avenir/stylesheet.css	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/mediaman.ma/assets/avenir/stylesheet.css	(from https://mediaman.ma/)
12:56:28	171843/171843	---MCZ	200	added ('OK')	text/css	etag:W/%2262349f45-29f43%22	https://mediaman.ma/assets/css/custom.css?v=1.012345	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/mediaman.ma/assets/css/customc25d.css	(from https://mediaman.ma/)
12:56:28	17949/17949	---MCZ	200	added ('OK')	text/css	etag:W/%2261b77992-461d%22	https://mediaman.ma/assets/css/responsive.css?v=1.012345	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/mediaman.ma/assets/css/responsivec25d.css	(from https://mediaman.ma/)
12:56:29	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2003%20Jun%202023%2011:56:29%20GMT	https://apps.elfsight.com/p/platform.js	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/apps.elfsight.com/p/platform.d.delayed	(from https://mediaman.ma/)
12:56:31	49394/49394	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e7751dfa124545dd77fcd997b9d62d7%22	https://static.elfsight.com/platform/platform.js	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/static.elfsight.com/platform/platform.js	(from https://mediaman.ma/)
12:56:31	4096/4096	---MCZ	200	added ('OK')	image/png	etag:W/%2261cae5d0-1000%22	https://mediaman.ma/assets/logo-01.png	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/mediaman.ma/assets/logo-01.png	(from https://mediaman.ma/)
12:56:32	135617/135617	---M-Z	200	added ('OK')	application/javascript	etag:%22619672b1-93ac%22	https://cdnjs.cloudflare.com/ajax/libs/Swiper/7.3.0/swiper-bundle.min.js	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/cdnjs.cloudflare.com/ajax/libs/Swiper/7.3.0/swiper-bundle.min.js	(from https://mediaman.ma/)
12:56:32	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2003%20Jun%202023%2011:56:32%20GMT	https://mediaman.ma/index-1.html	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/mediaman.ma/index-1.html	(from https://mediaman.ma/)
12:56:32	41657/41657	---MCZ	200	added ('OK')	text/html	date:Sat,%2003%20Jun%202023%2011:56:32%20GMT	https://mediaman.ma/about	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/mediaman.ma/about.html	(from https://mediaman.ma/)
12:56:32	40052/40052	---MCZ	200	added ('OK')	text/html	date:Sat,%2003%20Jun%202023%2011:56:33%20GMT	https://mediaman.ma/branding	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/mediaman.ma/branding.html	(from https://mediaman.ma/)
12:56:33	33444/33444	---MCZ	200	added ('OK')	text/html	date:Sat,%2003%20Jun%202023%2011:56:33%20GMT	https://mediaman.ma/development-web	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/mediaman.ma/development-web.html	(from https://mediaman.ma/)
12:56:33	35557/35557	---MCZ	200	added ('OK')	text/html	date:Sat,%2003%20Jun%202023%2011:56:33%20GMT	https://mediaman.ma/digital-advertising	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/mediaman.ma/digital-advertising.html	(from https://mediaman.ma/)
12:56:33	59219/59219	---MCZ	200	added ('OK')	text/html	date:Sat,%2003%20Jun%202023%2011:56:33%20GMT	https://mediaman.ma/video-production	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/mediaman.ma/video-production.html	(from https://mediaman.ma/)
12:56:33	47215/47215	---MCZ	200	added ('OK')	text/html	date:Sat,%2003%20Jun%202023%2011:56:33%20GMT	https://mediaman.ma/social-media-managemet	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/mediaman.ma/social-media-managemet.html	(from https://mediaman.ma/)
12:56:33	22339/22339	---MCZ	200	added ('OK')	text/html	date:Sat,%2003%20Jun%202023%2011:56:34%20GMT	https://mediaman.ma/contact	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/mediaman.ma/contact.html	(from https://mediaman.ma/)
12:56:34	162/162	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2003%20Jun%202023%2011:56:34%20GMT	https://mediaman.ma/fr	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/mediaman.ma/fr	(from https://mediaman.ma/)
12:56:34	271/271	---MCZ	200	added ('OK')	image/png	etag:W/%2261eae1ad-10f%22	https://mediaman.ma/fr.png	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/mediaman.ma/fr.png	(from https://mediaman.ma/)
12:56:34	112702/112702	---MCZ	200	added ('OK')	text/html	date:Sat,%2003%20Jun%202023%2011:56:34%20GMT	https://mediaman.ma/fr/	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/mediaman.ma/fr/index.html	(from https://mediaman.ma/)
12:56:35	37626/37626	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2003%20Jun%202023%2011:56:35%20GMT	https://player.vimeo.com/api/player.js	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/player.vimeo.com/api/player.js	(from https://mediaman.ma/)
12:56:35	41638/41638	---MCZ	200	added ('OK')	text/html	date:Sat,%2003%20Jun%202023%2011:56:35%20GMT	https://mediaman.ma/services	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/mediaman.ma/services.html	(from https://mediaman.ma/)
12:56:37	268418/268418	---MCZ	200	added ('OK')	image/png	etag:W/%2263fa7e1b-41882%22	https://mediaman.ma/images/chat-CMF3SF8.png	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/mediaman.ma/images/chat-CMF3SF8.png	(from https://mediaman.ma/)
12:56:37	416611/416611	---MCZ	200	added ('OK')	image/png	etag:W/%2263fa7e1d-65b63%22	https://mediaman.ma/images/shield-CMF3SF8.png	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/mediaman.ma/images/shield-CMF3SF8.png	(from https://mediaman.ma/)
12:56:39	438110/438110	---MCZ	200	added ('OK')	image/png	etag:W/%2263fa7e1d-6af5e%22	https://mediaman.ma/images/bag-CMF3SF8.png	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/mediaman.ma/images/bag-CMF3SF8.png	(from https://mediaman.ma/)
12:56:39	443619/443619	---MCZ	200	added ('OK')	image/png	etag:W/%2263fa7e1d-6c4e3%22	https://mediaman.ma/images/map-CMF3SF8-1024x685.png	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/mediaman.ma/images/map-CMF3SF8-1024x685.png	(from https://mediaman.ma/)
12:56:40	408733/408733	---MCZ	200	added ('OK')	image/png	etag:W/%2263fa7e1c-63c9d%22	https://mediaman.ma/images/Refill-card-NGLASK3-1024x707.png	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/mediaman.ma/images/Refill-card-NGLASK3-1024x707.png	(from https://mediaman.ma/)
12:56:40	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2003%20Jun%202023%2011:56:40%20GMT	https://mediaman.ma/images/arrow-1.png	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/mediaman.ma/images/arrow-1.22.delayed	(from https://mediaman.ma/)
12:56:41	712/712	---MCZ	401	error ('Unauthorized')	text/html	date:Sat,%2003%20Jun%202023%2011:56:41%20GMT	https://kit.detheme.com/dexor/wp-content/uploads/sites/8/2020/08/arrow-1.png	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/kit.detheme.com/dexor/wp-content/uploads/sites/8/2020/08/arrow-1.23.delayed	(from https://mediaman.ma/)
12:56:41	58261/58261	---MCZ	200	added ('OK')	image/png	etag:W/%2263fa7e17-e395%22	https://mediaman.ma/images/Loading-CMF3SF8.png	C:/My%20Web%20Sites/fillie%20zebsite%20media%20man/mediaman.ma/images/Loading-CMF3SF8.png	(from https://mediaman.ma/)
